"node_name","node_id","prod_type","prod_subtype","coal_brand","coal_group","year","prod_capa_Mt","total_cash_cost_ex_transp","c1_cash_cost_ex_transp","price_ex_transp","price_usd_pt","c1cashcost_usd_pt","mining_cost_usd_pt","coal_prep_cost_usd_pt","overhead_cost_usd_pt","port_cost_usd_pt","transp_cost_usd_pt","royalties_usd_pt","CV_cost_premium"
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2019,9.92,63.6,57.3,188.6,190.9274,59.60806,55.08997,5.58327,5.93481,0,0,6.30683,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2020,9.86,63.2,57.1,182.1,184.40801,59.44964,54.95895,5.56999,5.9207,0,0,6.10987,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2021,9.49,65.5,59.1,190.8,193.14735,61.4556648525612,56.618088975922,5.73814264988713,6.09943322675207,0,0,6.37582,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2022,9,66.6,60.3,187.4,189.7799,62.6951319154437,57.643221565439,5.84203779429422,6.20987255571046,0,0,6.27227,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2023,7.11,68.5,62.4,181.2,183.52606,64.7133001283088,59.3123988917039,6.0112055710045,6.3896956656004,0,0,6.08802,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2024,6.56,70.8,64.8,178,180.32,67.1181161894495,61.301366640731,6.21278936754905,6.60396018116951,0,0,5.99957,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2025,6.17,72.2,66.3,174.8,177.11394,68.6004785132384,62.5273939735455,6.33704515490002,6.73603938479289,0,0,5.90339,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2026,5.92,73.8,67.8,178.3,180.65622,70.1124880835033,63.7779418530165,6.46378605799803,6.87076017248876,0,0,6.00965,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2027,5.76,75.4,69.3,181.9,184.26934,71.6547378451731,65.0535006900767,6.59306177915797,7.00817537593851,0,0,6.11805,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2028,5.54,77.1,70.9,185.6,187.95473,73.2278326020768,66.3545707038783,6.72492301474115,7.1483388834573,0,0,6.22861,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2029,5.34,78.8,72.5,189.4,191.71382,74.832389254118,67.6816621179557,6.85942147503595,7.29130566112642,0,0,6.34138,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","HCC","Anhui HCC","HCC",2030,4.96,80.6,74.1,193.2,195.5481,76.4690370392005,69.0352953603149,6.99660990453668,7.43713177434896,0,0,6.45641,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2015,17.76,75.4,71.6,100.8,103.09941,73.97254,59.62642,5.9954,8.35073,0,0,3.73535,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2016,17.17,52.9,49.1,104.8,107.16436,51.43142,40.44407,5.41842,5.56893,0,0,3.81698,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2017,10.6,65.5,59.9,163,165.36236,62.29507,50.61025,5.32473,6.36009,0,0,5.55251,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2018,10.65,69.1,63.1,176.6,178.96126,65.44188,53.50106,5.44139,6.49943,0,0,5.97344,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2019,10.27,66.2,60.2,176.3,178.62351,62.56317,51.41731,5.21105,5.93481,0,0,5.93771,0
